"","id","wave","person_id","sex","age","edu","suppgov1","suppgov2","ideo1","ideo2","party1","opp_party1","party2","opp_party2","visits_raw","visits_u","day_range","active_days","count_domains","domain_center","domain_left","domain_right","domain_center_mean","domain_left_mean","domain_right_mean","news_self","news_like_self","condition_control","condition_experimental","condition","party_bin","news","news_like","att_imp_1","att_imp_2","att_imp_3","att_imp_4","att_imp_5","att_str_1","att_str_2","att_str_3","att_str_4","att_str_5","ft_far","ft_pis","ft_sld","ft_lw","ft_rw","ft_women","ft_rel","ft_eu","ft_econ","stupid_far","stupid_women","stupid_rel","stupid_eu","stupid_econ","under_far","under_pis","under_sld","under_lw","under_rw","under_women","under_rel","under_eu","under_econ","malvol_gov_1","malvol_gov_2","malvol_gov_3","malvol_gov_4","malvol_gov_5","malvol_op_1","malvol_op_2","malvol_op_3","malvol_op_4","malvol_op_5","comp_1","comp_2","comp_3","comp_4","perpol_1","perpol_2","perpol_3","perpol_4","att_str","att_imp","ft_party_op","ft_ideo_op","ft","under_party_op","under_ideo_op","under","stupid","malvol_1","malvol_2","malvol_3","malvol_4","malvol_5","malvol","comp","perpol","know","know_1","know_2","know_3","know_4","know_5","know_fac","know_fac_1","know_fac_2","know_fac_3","know_fac_4","ptc","ptc_1","ptc_2","ptc_3","ptc_4","ptc_5","ptc_6","ptc_7","ptc_8","stupid_lw","stupid_pis","stupid_rw","stupid_sld","well_act","well_act_1","well_act_2","well_act_3","well_act_4","well_act_5","well_feel","well_feel_1","well_feel_2","well_feel_3","well_feel_4","well_feel_5","well_feel_6","know_r","know_fac_r","ptc_r","att_str_r","att_imp_r","ft_r","under_r","stupid_r","malvol_r","comp_r","perpol_r","well_act_r","well_feel_r","news_r","news_like_r"
"1","1",1,7063,"Female","Age: 25–34","Education: Bachelor degree",1,3,4,4,5,1,5,1,25600,13999,90,75,611,189,16,0,2.52,38.7444131455399,0,0.777777777777778,4,1,NA,"More News - Control","Anti",8.14666666666667,0.213333333333333,4,4,4,4,4,4,4,4,4,4,68,NA,51,NA,56,54,58,47,52,4,NA,4,4,NA,4,NA,4,NA,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,3,3,3,3,4,4,4,4,4,4,NA,56,58.9166666666667,NA,4,25.3333333333333,4,4,4,4,3,3,3.6,3,4,3.4,4,3,4,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,4,4,2.4,1,2,1,1,7,3.33333333333333,4,4,3,3,3,3,50,50,0,50,50,58.9166666666667,46.5189873417722,50,50,50,50,22.8571428571429,50,47.0920248515672,5.24351131193251
"2","1",2,7063,"Female","Age: 25–34","Education: Bachelor degree",1,3,4,4,5,1,5,1,25600,13999,90,75,611,189,16,0,2.52,38.7444131455399,0,0.777777777777778,4,1,NA,"More News - Control","Anti",8.14666666666667,0.213333333333333,4,4,4,4,4,4,4,4,4,4,72,NA,50,NA,59,53,49,49,49,4,4,4,4,4,4,NA,4,NA,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,3,3,3,3,4,4,4,3,4,4,NA,59,60.3333333333333,NA,4,26.6666666666667,4,4,4,4,3,3,3.6,3,3.75,3.4,4,3,4,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,4,4,2.4,1,2,1,1,7,3.33333333333333,4,4,3,3,3,3,50,50,0,50,50,60.3333333333333,49.0506329113924,50,50,50,45.8333333333333,22.8571428571429,50,47.0920248515672,5.24351131193251
"3","2",1,7062,"Female","Age: 25–34","Education: Graduate school",3,5,3,10,7,1,5,3,4091,2094,85,34,142,29,24,0,0.852941176470588,38.251864125932,0,5.33333333333333,3,1,NA,"More News - Control","Anti",4.17647058823529,0.705882352941177,6,5,6,6,5,6,6,6,5,5,29,41,NA,39,NA,41,39,26,19,4,NA,2,3,NA,3,2,NA,5,NA,2,3,1,1,6,5,6,5,5,4,5,4,5,5,0,3,2,1,6,4,6,5,5.75,5.75,41,NA,33.125,2,NA,8.625,3.25,6,5,6,2,2,4.2,1.5,5.25,3.4,6,0,6,3,2,4,1,1,1,1,1,0,0,1,0,0,0,0,0,6,6,NA,NA,4.2,8,6,5,1,1,1.33333333333333,2,1,1,2,1,1,50,100,12.5,79.1666666666667,79.1666666666667,33.125,14.7943037974684,37.5,60,25,70.8333333333333,48.5714285714286,16.6666666666667,32.5914472323048,14.4823260220408
"4","2",2,7062,"Female","Age: 25–34","Education: Graduate school",3,5,3,10,7,1,5,3,4091,2094,85,34,142,29,24,0,0.852941176470588,38.251864125932,0,5.33333333333333,3,1,NA,"More News - Control","Anti",4.17647058823529,0.705882352941177,6,5,6,6,5,5,7,6,7,6,48,56,NA,37,NA,43,1,43,28,5,6,6,5,6,6,6,NA,5,NA,5,6,5,6,6,6,4,6,5,5,5,6,6,6,1,4,2,1,7,5,5,6,6.25,5.75,56,NA,40.375,6,NA,16.25,4.875,6,6,4,1,2,3.8,2,5.75,3.4,6,0,6,3,2,4,1,1,1,1,1,0,0,1,0,0,0,0,0,6,6,NA,NA,4.2,8,6,5,1,1,1.33333333333333,2,1,1,2,1,1,50,100,12.5,87.5,79.1666666666667,40.375,29.2721518987342,64.5833333333333,53.3333333333333,33.3333333333333,79.1666666666667,48.5714285714286,16.6666666666667,32.5914472323048,14.4823260220408
"5","3",1,7061,"Male","Age: 55+","Education: High school",5,3,5,5,2,1,2,1,5905,4445,113,69,285,3,2,0,0.0434782608695652,38.9287609716268,0,0.444444444444444,4,1,NA,"More News - Control","Anti",4.1304347826087,0.0289855072463768,4,3,4,3,5,4,3,3,2,5,85,NA,43,43,42,41,40,40,41,4,4,NA,NA,4,4,NA,4,4,4,4,4,4,4,4,4,4,2,4,NA,NA,NA,NA,NA,2,1,0,3,4,4,4,4,3,3.5,NA,42,55.8333333333333,NA,4,31,4,4,4,4,5,3,4,1.5,4,2.2,4,3,1,1,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,NA,1,1,2.2,1,1,1,1,7,3.33333333333333,4,4,3,3,3,3,30,75,0,33.3333333333333,41.6666666666667,55.8333333333333,57.2784810126582,50,56.6666666666667,25,50,20,50,32.3639006244118,0.774803342527227
"6","3",2,7061,"Male","Age: 55+","Education: High school",5,3,5,5,2,1,2,1,5905,4445,113,69,285,3,2,0,0.0434782608695652,38.9287609716268,0,0.444444444444444,4,1,NA,"More News - Control","Anti",4.1304347826087,0.0289855072463768,4,4,4,4,4,4,4,4,4,4,88,NA,51,52,45,44,37,40,33,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,4,4,4,4,4,0,0,0,0,0,1,1,1,1,4,4,4,4,4,4,NA,45,57.1666666666667,NA,1,30,2.5,4,4,4,3,3,3.6,1,4,2.2,4,3,1,1,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,NA,1,1,2.2,1,1,1,1,7,3.33333333333333,4,4,3,3,3,3,30,75,0,50,50,57.1666666666667,55.379746835443,25,50,16.6666666666667,50,20,50,32.3639006244118,0.774803342527227
"7","4",1,7060,"Male","Age: 55+","Education: High school",8,8,8,8,1,5,1,5,7498,4001,36,36,238,12,12,4,0.333333333333333,38.6244131455399,0.111111111111111,2.11111111111111,6,NA,1,"More News - Experiment","Pro",6.61111111111111,0.333333333333333,5,7,7,6,7,7,6,7,4,7,100,NA,61,53,NA,76,56,100,45,2,NA,4,7,NA,1,NA,5,4,NA,4,4,2,6,NA,NA,NA,NA,NA,7,7,7,1,1,4,3,4,6,7,7,7,7,6,6.25,61,53,67.5833333333333,5,4,20.1666666666667,3.75,7,7,7,6,6,6.6,4.25,7,5.6,6,5,6,6,5,2,1,0,1,0,1,1,0,0,0,0,0,0,0,1,NA,NA,4,3.2,5,2,1,1,7,2.33333333333333,2,2,3,3,3,1,86.6666666666667,50,12.5,83.3333333333333,87.5,67.5833333333333,36.7088607594937,45.8333333333333,100,70.8333333333333,100,34.2857142857143,33.3333333333333,42.4106966659509,7.80086536012547
"8","4",2,7060,"Male","Age: 55+","Education: High school",8,8,8,8,1,5,1,5,7498,4001,36,36,238,12,12,4,0.333333333333333,38.6244131455399,0.111111111111111,2.11111111111111,6,NA,1,"More News - Experiment","Pro",6.61111111111111,0.333333333333333,2,5,7,6,7,6,5,7,4,7,100,NA,75,50,NA,50,50,85,50,2,3,4,5,1,1,NA,3,4,NA,4,3,2,6,0,0,0,0,0,7,7,7,1,1,5,5,6,6,6,7,7,7,5.5,5,75,50,65.4166666666667,3,4,19.75,2.625,7,7,7,6,6,6.6,5.5,6.75,5.6,6,5,6,6,5,2,1,0,1,0,1,1,0,0,0,0,0,0,0,1,NA,NA,4,3.2,5,2,1,1,7,2.33333333333333,2,2,3,3,3,1,86.6666666666667,50,12.5,75,66.6666666666667,65.4166666666667,35.9177215189873,27.0833333333333,100,91.6666666666667,95.8333333333333,34.2857142857143,33.3333333333333,42.4106966659509,7.80086536012547
"9","5",1,7059,"Female","Age: 25–34","Education: Bachelor degree",2,1,3,2,9,3,5,3,237,122,95,8,10,0,0,0,0,38.9577464788732,0,2.88888888888889,3,NA,1,"More News - Experiment","Anti",1.25,0,5,4,6,5,7,5,6,6,5,7,78,88,NA,NA,60,74,82,79,61,2,3,NA,NA,4,1,1,NA,NA,2,2,3,3,2,5,4,5,3,3,NA,NA,NA,NA,NA,1,2,1,3,5,5,6,6,5.5,5,88,60,72.3333333333333,1,2,14.6666666666667,2.75,5,4,5,4,4,4.4,1.75,5.5,4.4,5,4,5,4,4,3,1,0,1,1,3,1,0,0,1,1,0,0,0,NA,2,4,NA,3.6,4,3,1,3,7,3.16666666666667,4,5,2,3,2,3,66.6666666666667,75,37.5,75,66.6666666666667,72.3333333333333,26.2658227848101,29.1666666666667,63.3333333333333,29.1666666666667,75,40,47.2222222222222,11.3680077056927,0
"10","5",2,7059,"Female","Age: 25–34","Education: Bachelor degree",2,1,3,2,9,3,5,3,237,122,95,8,10,0,0,0,0,38.9577464788732,0,2.88888888888889,3,NA,1,"More News - Experiment","Anti",1.25,0,5,5,6,5,6,5,5,5,4,6,70,80,NA,NA,55,68,63,73,59,5,3,4,3,4,2,2,NA,NA,3,3,4,3,4,5,5,5,4,4,0,0,0,0,0,2,1,2,4,5,3,4,3,4.75,5.25,80,55,65.25,2,3,14.1666666666667,2.75,5,5,5,3,3,4.2,2.25,3.75,4.4,5,4,5,4,4,3,1,0,1,1,3,1,0,0,1,1,0,0,0,NA,2,4,NA,3.6,4,3,1,3,7,3.16666666666667,4,5,2,3,2,3,66.6666666666667,75,37.5,62.5,70.8333333333333,65.25,25.3164556962025,29.1666666666667,60,37.5,45.8333333333333,40,47.2222222222222,11.3680077056927,0
