"","person_id","sex","age","edu","party","ideo","approve_trump","know_1_w2","know_2_w2","know_3_w2","know_4_w2","know_5_w2","know_fac_1_w2","know_fac_2_w2","know_fac_3_w2","know_fac_4_w2","ptc_w2","att_imp_gun_w1","att_imp_immigrant_w1","att_imp_climate_w1","att_imp_trump_w1","att_imp_econ_w1","att_imp_gun_w2","att_imp_immigrant_w2","att_imp_climate_w2","att_imp_trump_w2","att_imp_econ_w2","att_str_gun_w1","att_str_immigrant_w1","att_str_climate_w1","att_str_trump_w1","att_str_econ_w1","att_str_gun_w2","att_str_immigrant_w2","att_str_climate_w2","att_str_trump_w2","att_str_econ_w2","ft_dem_w1","ft_rep_w1","ft_lib_w1","ft_cons_w1","ft_gun_w1","ft_immigrant_w1","ft_climate_w1","ft_econ_w1","ft_dem_w2","ft_rep_w2","ft_lib_w2","ft_cons_w2","ft_gun_w2","ft_immigrant_w2","ft_climate_w2","ft_econ_w2","stupid_party_opp_w1","stupid_ind_dem_w1","stupid_ideo_opp_w1","stupid_ind_cons_w1","stupid_gun_w1","stupid_immigrant_w1","stupid_climate_w1","stupid_econ_w1","stupid_party_opp_w2","stupid_ideo_opp_w2","stupid_gun_w2","stupid_immigrant_w2","stupid_climate_w2","stupid_econ_w2","under_party_opp_w1","under_ideo_opp_w1","under_gun_w1","under_immigrant_w1","under_climate_w1","under_econ_w1","under_party_opp_w2","under_ideo_opp_w2","under_gun_w2","under_immigrant_w2","under_climate_w2","under_econ_w2","malvol_1_w1","malvol_2_w1","malvol_3_w1","malvol_4_w1","malvol_5_w1","malvol_1_w2","malvol_2_w2","malvol_3_w2","malvol_4_w2","malvol_5_w2","comp_1_w1","comp_2_w1","comp_3_w1","comp_4_w1","comp_1_w2","comp_2_w2","comp_3_w2","comp_4_w2","perpol_1_w1","perpol_2_w1","perpol_3_w1","perpol_4_w1","perpol_1_w2","perpol_2_w2","perpol_3_w2","perpol_4_w2","well_act_1_w2","well_act_2_w2","well_act_3_w2","well_act_4_w2","well_act_5_w2","well_feel_1_w2","well_feel_2_w2","well_feel_3_w2","well_feel_4_w2","well_feel_5_w2","well_feel_6_w2","visits_raw","visits_u","day_range","active_days","count_domains","domain_center","domain_left","domain_right","domain_center_mean","domain_left_mean","domain_right_mean","news_self","news_like_self","condition","party_bin","news","news_like","know_w2","know_fac_w2","att_str_w1","att_str_w2","att_imp_w1","att_imp_w2","ft_party_op_w1","ft_ideo_op_w1","ft_w1","ft_party_op_w2","ft_ideo_op_w2","ft_w2","under_party_op_w1","under_ideo_op_w1","under_w1","under_party_op_w2","under_ideo_op_w2","under_w2","stupid_party_op_w1","stupid_ideo_op_w1","stupid_w1","stupid_party_op_w2","stupid_ideo_op_w2","stupid_w2","malvol_w1","malvol_w2","comp_w1","comp_w2","perpol_w1","perpol_w2","well_feel_w2","well_act_w2"
"1",326,"Male","Age: 18–24","Education: High school",1,2,1,6,5,6,5,5,1,1,0,0,2,6,7,5,7,6,9,9,8,9,8,6,6,7,7,5,7,7,6,7,6,0,99,8,69,94,94,94,95,0,100,0,100,100,100,80,70,7,NA,4,NA,NA,NA,7,NA,7,7,7,7,7,5,1,4,1,1,1,2,1,2,1,1,2,2,6,6,7,6,6,7,7,7,6,6,0,0,0,0,2,5,4,3,5,4,7,6,6,7,7,7,4,1,1,1,4,3,6,3,3,3,3,43264,14123,75,72,277,0,0,0,0,63.7555555555556,0,6.77777777777778,4,"No News - Control","Democrat",3.84722222222222,0,5.4,2,6,6.5,6,8.5,99,69,65.8125,100,100,72.125,1,1,1.0625,1,1,1.125,7,7,5.5,7,7,5.375,6.2,6.6,0,3.5,5.5,6.75,3.5,2.2
"2",503,"Male","Age: 35–44","Education: Junior college",2,6,4,5,1,6,2,1,1,1,0,0,1,3,3,3,3,7,8,5,5,5,4,2,4,2,4,7,4,4,4,6,5,5,8,10,10,19,25,15,45,78,62,61,70,57,63,67,66,2,NA,2,NA,NA,NA,NA,3,5,4,4,5,5,5,6,6,5,5,5,4,4,4,5,4,5,5,2,2,2,1,1,6,5,5,4,1,1,0,0,0,1,2,2,1,6,2,6,7,5,6,5,5,8,1,6,3,0,5,6,1,1,2,2,31809,20754,74,56,277,0,0,9,0,63.7555555555556,0.160714285714286,4.55555555555556,4,"No News - Control","Democrat",4.94642857142857,0,3,2,3.75,4.25,4,5.5,8,10,11.25,62,70,49.0625,6,6,4.4375,4,4,3.4375,2,2,2,5,5,3.9375,1.6,4.2,0.25,1.5,5.25,5.25,2.83333333333333,3.6
"3",842,"Female","Age: 55+","Education: Junior college",6,8,6,4,2,4,3,3,1,0,0,0,0,7,7,7,7,7,9,5,8,5,5,7,5,5,7,7,7,7,5,6,5,71,17,72,30,72,53,51,51,32,21,23,24,20,16,16,24,6,NA,7,NA,NA,NA,4,5,5,6,4,5,4,5,1,2,2,4,4,1,4,5,5,3,4,6,7,7,7,6,6,3,5,3,3,3,0,0,0,3,1,2,2,1,5,5,6,5,5,4,5,5,1,4,1,1,3,1,5,2,1,1,3,51359,27001,76,64,914,0,11,111,0,63.5836805555556,1.734375,3.55555555555556,4,"No News - Experiment","Republican",14.28125,0.171875,3.2,1,6,6,7,6.75,71,72,50.1875,32,23,18.75,1,1,1.4375,4,4,3.375,6,6,4.375,5,5,3.875,6.6,3.4,0.75,1.5,5.25,4.75,2.16666666666667,2
"4",672,"Male","Age: 25–34","Education: High school",3,5,1,4,3,5,2,3,1,0,0,1,5,7,1,5,1,6,4,4,5,4,5,5,3,5,1,6,4,3,4,3,3,21,4,83,21,50,59,90,44,93,94,88,89,93,87,87,89,3,4,5,4,4,4,NA,NA,1,1,1,1,1,1,3,5,6,3,2,2,5,5,5,5,5,5,5,2,4,6,4,4,4,4,3,3,4,5,3,4,2,1,0,1,4,2,3,6,5,5,5,6,2,5,1,1,3,1,4,3,3,3,3,16683,6847,75,28,223,0,0,0,0,63.7555555555556,0,3.33333333333333,4,"No News - Experiment","Democrat",7.96428571428571,0,3.4,2,4.75,3.5,4.75,4.5,4,21,21.6875,94,89,68.25,3,3,2.5625,5,5,4,3,3,2.75,1,1,1,4.2,3.6,4,1,3.75,5.25,2.83333333333333,2.4
"5",814,"Male","Age: 35–44","Education: High school",1,0,1,4,3,4,3,2,0,1,1,1,0,7,5,7,7,6,4,4,5,3,4,7,7,7,7,5,5,5,5,3,4,5,99,0,99,99,99,80,70,98,99,99,98,99,98,99,80,5,NA,4,NA,NA,NA,6,4,1,1,1,1,2,1,1,1,1,1,2,2,4,4,4,4,4,4,5,5,4,6,6,3,3,4,3,3,1,1,0,4,4,2,4,3,5,7,6,7,4,5,5,5,1,2,1,2,7,2,2,3,4,3,4,21274,11225,75,72,373,0,10,442,0,63.6166666666667,6.13888888888889,2,1,"No News - Experiment","Democrat",5.18055555555556,0.138888888888889,3.2,3,6.5,4.75,6.25,4.25,99,99,71.5,99,98,73,1,1,1.125,4,4,3.25,5,5,4,1,1,1.0625,5.2,3.2,1.5,3.25,6.25,4.75,3,2.6
"6",142,"Female","Age: 25–34","Education: Bachelor",4,3,3,4,4,4,3,4,0,1,0,1,4,6,5,5,5,6,5,3,9,9,4,6,6,5,6,6,5,6,7,7,5,36,25,24,51,21,58,75,40,5,78,11,89,79,81,100,80,6,3,4,6,NA,3,NA,NA,2,2,1,2,3,1,5,6,4,5,5,6,3,2,3,2,2,4,3,5,4,3,2,2,1,2,3,3,4,4,2,5,2,2,2,4,2,3,3,4,5,3,7,7,1,1,1,1,6,1,1,2,1,3,1,74760,43241,76,76,881,0,22,1030,0,63.4660818713451,13.5526315789474,4.11111111111111,2,"No News - Experiment","Democrat",11.5921052631579,0.289473684210526,3.8,2,5.75,5.75,5.5,5.25,25,51,31.375,78,89,63.25,5,5,4,3,3,2.4375,6,6,4,2,2,1.6875,3.4,2.2,3.75,2.5,3,5.5,1.5,2
"7",546,"Male","Age: 18–24","Education: Junior college",2,6,3,5,4,4,5,4,1,1,0,1,2,5,5,6,6,6,2,8,8,8,8,7,6,7,6,6,2,6,6,6,6,35,68,65,70,62,68,46,57,73,19,71,15,82,58,94,93,5,6,7,NA,6,NA,5,NA,3,3,4,3,4,3,6,6,7,5,5,7,2,3,2,2,2,3,6,5,4,1,1,3,3,3,2,3,2,1,3,3,2,1,1,1,5,3,4,5,4,4,5,5,2,1,1,1,1,1,3,2,2,2,1,28822,11135,73,59,378,0,0,0,0,63.7555555555556,0,6.55555555555556,4,"No News - Experiment","Democrat",6.40677966101695,0,4.4,3,6.5,5,5.5,6.5,68,70,49.3125,19,15,29.1875,6,6,4.75,2,2,1.8125,5,5,4.125,3,3,2.625,3.4,2.8,2.25,1.25,4.25,4.5,1.83333333333333,1.2
"8",836,"Male","Age: 35–44","Education: Graduate school",2,1,1,3,2,2,1,2,0,0,1,1,1,6,7,6,6,7,5,2,5,3,8,7,6,6,7,7,5,2,4,2,4,84,81,78,77,76,53,69,73,34,34,35,49,78,52,66,46,1,NA,2,NA,NA,NA,1,2,2,2,4,2,4,2,6,7,6,6,7,7,3,5,2,4,3,3,6,5,5,1,1,2,2,2,2,2,0,0,0,0,1,1,1,1,4,4,5,6,3,5,6,6,1,1,1,1,7,4,4,5,3,3,4,2377,452,2,2,56,0,0,4,0,63.7555555555556,2,6,5,"No News - Experiment","Democrat",28,0,2,2,6.5,3.75,6.5,5,81,77,56.6875,34,49,36.125,6,6,4.875,3,3,2.5,1,1,1.125,2,2,2,3.6,2,0,1,4.75,5,3.83333333333333,2.2
"9",152,"Female","Age: 45–54","Education: High school",4,5,3,2,2,1,3,1,1,0,0,0,3,5,4,5,3,5,5,4,5,4,3,4,4,5,3,4,5,6,5,7,3,98,99,98,99,96,97,96,95,30,69,10,85,70,88,63,55,4,4,4,4,NA,NA,4,NA,4,3,2,5,4,3,4,4,3,3,3,4,2,2,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,2,1,1,2,5,5,5,4,4,3,5,6,3,1,2,2,6,3,3,4,3,3,2,24235,20084,76,52,613,0,7,32,0,63.6209401709402,0.615384615384615,2.44444444444444,4,"No News - Experiment","Democrat",11.7884615384615,0.134615384615385,1.8,1,4.25,4.75,4.75,4.25,99,99,73.75,69,85,56,4,4,3.0625,2,2,2.1875,4,4,3.25,4,4,3.125,4,3.8,3.75,1.5,4.75,4.5,3,2.8
"10",713,"Female","Age: 55+","Education: Junior college",1,1,1,1,0,1,0,0,1,0,1,1,2,5,5,7,7,5,9,9,9,9,9,5,5,7,7,4,7,7,7,7,7,3,87,24,99,82,99,100,83,100,99,99,99,99,99,99,99,3,NA,3,NA,4,NA,NA,4,7,5,7,7,7,7,4,3,4,4,1,4,1,1,1,1,1,1,5,4,4,4,4,7,7,7,6,6,2,2,1,4,0,0,0,0,4,3,7,7,7,7,7,7,1,2,4,1,6,6,7,3,6,6,3,45420,30561,58,52,741,2,89,144,0.0384615384615385,62.0440170940171,2.76923076923077,3.66666666666667,3,"No News - Experiment","Democrat",14.25,1.71153846153846,0.4,3,5.25,7,5.5,9,87,99,69.5,99,99,74.5,4,4,3.0625,1,1,1,3,3,2.75,7,7,5.5,4.2,6.6,2.25,0,5.25,7,5.16666666666667,2.8
