"person_id","visits_raw_w1","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","visits_raw_w2","visits_u_w2","day_range_w2","active_days_w2","count_domains_w2","visits_raw_w3","visits_u_w3","day_range_w3","active_days_w3","count_domains_w3","diff_day_range_w1_w2","domain_right_w1","domain_center_w1","domain_left_w1","domain_left_w2","domain_right_w2","domain_center_w2","domain_right_w3","domain_center_w3","domain_left_w3","domain_right_mean_w1","domain_center_mean_w1","domain_left_mean_w1","domain_left_mean_w2","domain_right_mean_w2","domain_center_mean_w2","domain_right_mean_w3","domain_center_mean_w3","domain_left_mean_w3"
1,3545,1799,5,5,156,3276,1674,97,6,193,1393,713,82,3,89,0,3,0,0,1,6,0,2,0,0,0.6,0,0,0.166666666666667,1,0,0.666666666666667,0,0
2,29052,14879,34,34,635,43972,25085,102,75,1246,56430,26261,82,52,1421,-68,63,5,6,6,144,0,178,7,30,1.85294117647059,0.147058823529412,0.176470588235294,0.08,1.92,0,3.42307692307692,0.134615384615385,0.576923076923077
3,62215,45453,92,92,696,91299,50987,94,94,839,47912,41535,84,84,736,-2,381,0,6,9,450,1,334,0,9,4.14130434782609,0,0.0652173913043478,0.0957446808510638,4.78723404255319,0.0106382978723404,3.97619047619048,0,0.107142857142857
4,15175,9674,90,82,798,1166,576,58,15,119,6329,2891,79,30,253,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,19783,11090,89,68,483,30364,17794,89,84,480,27828,16540,85,85,486,0,70,0,6,5,86,0,95,9,10,1.02941176470588,0,0.0882352941176471,0.0595238095238095,1.02380952380952,0,1.11764705882353,0.105882352941176,0.117647058823529
6,14023,7840,32,22,324,16222,9002,98,58,501,54,32,1,1,8,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7999,4033,90,46,210,11594,6259,62,58,335,8200,3297,79,22,192,28,0,0,4,3,0,0,1,0,1,0,0,0.0869565217391304,0.0517241379310345,0,0,0.0454545454545455,0,0.0454545454545455
9,110,44,35,11,20,3286,1788,95,20,112,23,18,1,1,10,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,101704,47498,91,91,1036,90026,40600,103,88,729,15605,6994,25,25,157,-12,1331,1,521,321,2745,3,785,0,8,14.6263736263736,0.010989010989011,5.72527472527473,3.64772727272727,31.1931818181818,0.0340909090909091,31.4,0,0.32
11,8169,3621,32,16,244,62261,24205,91,68,1124,21560,7851,89,10,344,-59,12,0,1,20,16,1,18,0,1,0.75,0,0.0625,0.294117647058824,0.235294117647059,0.0147058823529412,1.8,0,0.1
12,23343,12840,38,26,484,28349,15809,92,82,551,57926,29437,82,80,539,-54,300,0,3,119,1317,0,4874,4,257,11.5384615384615,0,0.115384615384615,1.45121951219512,16.0609756097561,0,60.925,0.05,3.2125
13,23882,12944,90,84,458,25815,14125,99,90,555,15475,9425,89,81,380,-9,34,0,3,5,61,0,10,1,2,0.404761904761905,0,0.0357142857142857,0.0555555555555556,0.677777777777778,0,0.123456790123457,0.0123456790123457,0.0246913580246914
14,90142,44912,90,88,1034,111381,60920,95,92,1351,102286,48762,83,83,765,-5,136,4,1,3,182,0,158,1,15,1.54545454545455,0.0454545454545455,0.0113636363636364,0.0326086956521739,1.97826086956522,0,1.90361445783133,0.0120481927710843,0.180722891566265
15,5590,3233,50,39,257,6190,2987,95,34,204,10072,6073,81,59,281,-45,1,0,0,0,2,0,1,0,13,0.0256410256410256,0,0,0,0.0588235294117647,0,0.0169491525423729,0,0.220338983050847
